명칭,종별,전체,전화번호,도로명주소,x,y
호생한의원,한의원,0,053-754-5155,대구광역시 수성구 화랑로 118 (만촌동),128.639742798,35.873099023
닥터팽한의원,한의원,0,053-285-3020,"대구광역시 수성구 국채보상로 804, 2층 (범어동)",128.618574627,35.867556747
나을한의원,한의원,0,053-793-2266,"대구광역시 수성구 달구벌대로 3093, 2층 (시지동)",128.695489359,35.843202364
장희욱한의원,한의원,0,053-784-0015,대구광역시 수성구 지범로41길 54 (범물동),128.644888598,35.822599800
온누리한의원,한의원,0,053-746-1275,"대구광역시 수성구 교학로11길 81 (만촌동, (2층))",128.656391860,35.849882029
예사랑한의원,한의원,0,053-784-7588,"대구광역시 수성구 지범로 183 (지산동, (시티월드 302호))",128.639661810,35.821542604
꽃과나비한의원,한의원,0,053-768-5665,"대구광역시 수성구 달구벌대로512길 4, 3층 (범어동)",128.642661351,35.858229423
경인한의원,한의원,0,053-791-3831,대구광역시 수성구 달구벌대로 3070 (시지동),128.692745703,35.842658628
수성한의원,한의원,0,053-742-3332,대구광역시 수성구 수성로 373 (수성동1가),128.613701243,35.858767791
명원한의원,한의원,0,053-752-1194,대구광역시 수성구 달구벌대로 2468 (범어동),128.632549505,35.858491841
깨끗안한의원,한의원,10,053-794-7529,"대구광역시 수성구 달구벌대로 3206, 창성빌딩 4,5층 (신매동)",128.707356809,35.839764648
진한의원,한의원,0,053-743-4207,"대구광역시 수성구 들안로 231, 2층 (중동)",128.616487116,35.850654957
신정식한의원,한의원,0,053-791-3600,대구광역시 수성구 달구벌대로 3173 (매호동),128.704205042,35.841351828
정원한의원,한의원,0,053-784-0070,"대구광역시 수성구 용학로 170, 1층 (지산동)",128.627417639,35.822574004
예원한의원,한의원,0,053-794-9977,대구광역시 수성구 달구벌대로649길 22-7 (신매동),128.713974747,35.839663710
상동한의원,한의원,0,053-764-7517,대구광역시 수성구 수성로 101 (상동),128.611326562,35.834521518
기림한의원,한의원,0,053-743-6075,대구광역시 수성구 동원로 123 (만촌동),128.634730172,35.868717182
총명한의원,한의원,0,053-794-8100,대구광역시 수성구 달구벌대로 3202 (신매동),128.706722606,35.840002411
일침당한의원,한의원,0,053-759-3636,대구광역시 수성구 동원로 123 (만촌동),128.634730172,35.868717182
태을양생한의원,한의원,0,053-781-1240,"대구광역시 수성구 용학로 149, 2층 (지산동)",128.625538113,35.823684501
경화당한의원,한의원,0,053-784-7575,대구광역시 수성구 지산로14안길 1 (지산동),128.634802664,35.827465189
도담한의원,한의원,0,053-762-5959,대구광역시 수성구 수성로 210 (중동),128.612754748,35.844081611
영남한의원,한의원,0,053-794-1010,"대구광역시 수성구 달구벌대로 3177 (매호동, (3층))",128.704560269,35.841327095
우리아이한의원,한의원,0,053-759-5175,대구광역시 수성구 명덕로 455 (수성동3가),128.620058532,35.854370716
신용훈한의원,한의원,0,053-768-5887,대구광역시 수성구 명덕로 490 (범어동),128.623800247,35.853600196
최광균한의원,한의원,0,053-635-7975,"대구광역시 수성구 청수로 235, 201호 (황금동, 캐슬골드파크 2단지)",128.633426579,35.841444827
중동연합한의원,한의원,0,053-761-2255,"대구광역시 수성구 청수로 23, 3층 (중동)",128.610617840,35.841180937
이태균한의원,한의원,0,053-794-0052,대구광역시 수성구 달구벌대로 3204 (신매동),128.706916420,35.839940819
경맥한의원,한의원,0,053-784-0585,"대구광역시 수성구 지범로40길 11, 204호 (범물동, 서한화성아파트)",128.641298722,35.818999226
개풍한의원,한의원,0,053-765-8130,"대구광역시 수성구 수성로 231-16, 지하1~1층 (중동)",128.612189027,35.846314101
활성한의원,한의원,0,053-759-1075,대구광역시 수성구 달구벌대로 2526 (범어동),128.639119557,35.858313551
태오름한의원,한의원,0,053-792-1779,"대구광역시 수성구 고산로 159 (매호동, (3~4층))",128.706287559,35.844993559
박창국한의원,한의원,0,053-764-1237,대구광역시 수성구 명덕로 402 (수성동2가),128.613971371,35.854252332
동고한의원,한의원,0,053-755-0207,대구광역시 수성구 명덕로 385 (수성동1가),128.612113666,35.854927216
경희예한의원,한의원,0,053-792-7512,대구광역시 수성구 달구벌대로 3224 (신매동),128.708930761,35.839021890
고산한의원,한의원,0,053-793-7510,"대구광역시 수성구 달구벌대로 3181, 4층 (매호동)",128.704867988,35.841245948
약산한의원,한의원,0,053-763-8827,대구광역시 수성구 명덕로 396 (수성동1가),128.613121815,35.854300818
황금도원한의원,한의원,0,053-743-0325,"대구광역시 수성구 동대구로 88, 2층 (지산동)",128.624507597,35.837989283
최재영한의원,한의원,0,053-753-7511,대구광역시 수성구 달구벌대로 2668 (만촌동),128.653001813,35.854847414
코끼리한의원,한의원,0,053-792-8575,"대구광역시 수성구 달구벌대로 3188, 2층 (신매동, 아레나스포츠센터)",128.705215366,35.840317217
위강한의원,한의원,0,053-755-4090,대구광역시 수성구 달구벌대로 2395 (범어동),128.624545718,35.859567347
대구코앤키한의원,한의원,0,053-791-5566,대구광역시 수성구 달구벌대로 3218 (신매동),128.708264223,35.839336126
오드리여성한의원,한의원,0,053-751-0054,대구광역시 수성구 달구벌대로 2295 (수성동4가),128.613588452,35.860088998
감나무한의원,한의원,0,053-751-0068,대구광역시 수성구 달구벌대로 2512 (범어동),128.637391855,35.858513426
자연한의원,한의원,0,053-763-8575,대구광역시 수성구 파동로 102-1 (파동),128.617071533,35.813013754
상화한의원,한의원,0,053-767-1075,대구광역시 수성구 청수로35길 99 (황금동),128.632544827,35.842135725
해바라기한의원,한의원,0,053-766-0200,대구광역시 수성구 청수로 198 (지산동),128.629696900,35.838799941
성수한의원,한의원,0,053-755-1770,대구광역시 수성구 범어천로 203 (수성동4가),128.619507323,35.863314795
미라인한의원,한의원,0,053-628-7511,"대구광역시 수성구 지범로 167, 지산메디지오 7층 701호 (지산동)",128.638287872,35.822370715
범어권한의원,한의원,0,053-752-1255,"대구광역시 수성구 달구벌대로 2506, 2층 (범어동)",128.636724550,35.858488522
예맥한의원,한의원,0,053-751-7783,"대구광역시 수성구 동원로 97, 메트로웰빙하와이 1층 (만촌동)",128.638120760,35.867639053
원한의원,한의원,0,053-780-1009,대구광역시 수성구 동원로 135 (만촌동),128.634670543,35.870763714
춘우당한의원,한의원,0,053-766-7500,대구광역시 수성구 청수로 192 (지산동),128.629035542,35.838792770
고신한의원,한의원,0,053-744-9478,대구광역시 수성구 동대구로 337 (범어동),128.626017017,35.860652574
태종한의원,한의원,0,053-766-7773,"대구광역시 수성구 청수로 196 (지산동,(외1필지))",128.629498580,35.838798634
시지동의보감한의원,한의원,0,053-794-1075,대구광역시 수성구 달구벌대로 3130 (시지동),128.699145732,35.841773390
청수한의원,한의원,0,053-768-7598,"대구광역시 수성구 수성로 334, 2층 (수성동2가)",128.613979729,35.855292399
벼리한의원,한의원,0,053-781-1758,대구광역시 수성구 지범로46길 20 (범물동),128.643397219,35.816265486
보화당삼대한의원,한의원,0,053-744-0110,대구광역시 수성구 들안로 301 (수성동2가),128.617027024,35.856949825
허브맘 혜민당한의원,한의원,0,053-765-7510,"대구광역시 수성구 수성로 294, 2층 (수성동2가)",128.613624865,35.851634426
맘스효성한의원,한의원,0,053-764-0155,"대구광역시 수성구 수성로 188, 2층 (중동)",128.612715458,35.842226467
석경한의원,한의원,0,053-793-7007,"대구광역시 수성구 화랑로12길 8, 301호 (만촌동, 메트로월드상가)",128.634281707,35.870984504
명제한의원,한의원,0,053-745-0028,"대구광역시 수성구 달구벌대로469길 8-2, 수성프라자 3층 (수성동4가)",128.619856778,35.860193627
초현한의원,한의원,0,053-782-7585,"대구광역시 수성구 용학로40길 3, 1층 (지산동)",128.630263426,35.821415339
코비한의원,한의원,0,053-753-9795,"대구광역시 수성구 동대구로59길 8-12, 5층 (범어동)",128.624864496,35.858307315
권한방한의원,한의원,0,053-761-7588,"대구광역시 수성구 청수로 284, 황금빌딩 2, 3층 (황금동)",128.638786685,35.840340966
미라인한의원,한의원,0,053-759-7510,"대구광역시 수성구 달구벌대로 2489, 2층 (범어동)",128.634938245,35.859157082
세중한의원,한의원,0,053-755-3660,"대구광역시 수성구 동대구로 311 (범어동, 범어애플타워 9층)",128.625258090,35.858112954
화인한의원,한의원,0,053-765-1275,대구광역시 수성구 지범로 145 (지산동),128.636465333,35.823511990
선제한의원,한의원,0,053-783-7171,"대구광역시 수성구 용학로 214, 2층 (지산동)",128.631695573,35.821125735
하늘마음한의원,한의원,0,053-759-9975,"대구광역시 수성구 동대구로 329 (범어동,(일강빌딩3층))",128.625609489,35.859973190
여미지한의원,한의원,0,053-943-3624,"대구광역시 수성구 동대구로 300 (범어동, 범어롯데캐슬상가 401동 212호,213호)",128.626237931,35.856885927
손대용한의원,한의원,0,053-794-5275,"대구광역시 수성구 신매로 84, 2층 (신매동)",128.708879085,35.836990234
장원한의원,한의원,0,053-782-3456,"대구광역시 수성구 용학로 298, 2층 (범물동, 건타워)",128.640725873,35.821697654
수성함소아한의원,한의원,0,053-751-1675,"대구광역시 수성구 달구벌대로 2435, 301동 301호 (범어동, 두산위브더제니스)",128.629098672,35.859342506
수성성모연합한의원,한의원,0,053-744-0700,대구광역시 수성구 명덕로 426 (수성동2가),128.616583191,35.854102620
만촌한의원,한의원,0,053-759-8875,대구광역시 수성구 만촌로 48 (만촌동),128.644476086,35.863271901
하이키한의원,한의원,0,053-753-1075,"대구광역시 수성구 동대구로 300, 401동 306호 (범어동, 범어롯데캐슬상가)",128.626237931,35.856885927
보생한의원,한의원,0,053-743-9992,"대구광역시 수성구 범어로 9, 2층 (범어동, 선스포츠프라자)",128.637551540,35.850591722
권오대한의원,한의원,0,053-792-1275,"대구광역시 수성구 신매로 91, 112/201호 (신매동)",128.708732195,35.837724653
임병하동시진료한의원,한의원,0,053-743-7505,대구광역시 수성구 달구벌대로480길 21 (범어동),128.624028232,35.858436056
따뜻한한의원,한의원,0,053-745-2600,"대구광역시 수성구 청수로 184, 2층 (지산동)",128.628243883,35.838756508
금해한의원,한의원,0,053-959-7602,"대구광역시 수성구 고산로18길 9, 2층 (신매동)",128.705466741,35.839183643
수경한의원,한의원,0,053-754-7791,"대구광역시 수성구 동대구로 345, 1동 307~309호 (범어동, 범어역유쉘상가)",128.626081472,35.861551034
자인한의원,한의원,0,053-782-7575,대구광역시 수성구 지산로 61 (지산동),128.633525522,35.826685681
하나한의원,한의원,0,053-959-7611,대구광역시 수성구 지범로39길 13 (범물동),128.642137712,35.820616134
성균관한의원,한의원,0,053-959-7612,"대구광역시 수성구 동대구로 250, 206동 201호 (범어동, 태왕유성빌상가)",128.625704859,35.852793552
발머스한의원,한의원,0,053-751-9010,"대구광역시 수성구 달구벌대로 2583, 203,209호 (만촌동, 만촌월드메르디앙)",128.645395050,35.859259249
정우한의원,한의원,0,053-766-1900,"대구광역시 수성구 청수로 42, 3층 (상동)",128.612624615,35.840442115
오성한의원,한의원,0,053-752-5225,"대구광역시 수성구 달구벌대로 2382, 1,3층 (범어동)",128.622953705,35.858975488
해아림한의원 대구본점,한의원,0,053-751-0071,"대구광역시 수성구 달구벌대로 2435, 307호 (범어동, 두산위브더제니스)",128.629407158,35.860479220
화리한의원,한의원,0,053-742-8775,"대구광역시 수성구 달구벌대로 2583, 106호 (만촌동, 월드메르디앙)",128.645395050,35.859259249
월드연합한의원,한의원,0,053-742-8775,"대구광역시 수성구 달구벌대로 2583, 212호 (만촌동, 월드메르디앙상가)",128.645395050,35.859259249
기린목한의원,한의원,0,053-753-7582,"대구광역시 수성구 동대구로55길 11, 상가101동 205~207호 (범어동, 범어라온프라이빗)",128.623923982,35.854021042
부민한의원,한의원,0,053-791-2822,"대구광역시 수성구 달구벌대로 3280, 301동 117~118호 (신매동, 시지효성백년가약1단지아파트)",128.715131476,35.836533728
해인한의원,한의원,0,053-782-1555,"대구광역시 수성구 지범로 181, 403호 (지산동, 지산프라자)",128.639326484,35.821617299
안아픈한의원,한의원,0,053-751-7579,대구광역시 수성구 달구벌대로 2280 (수성동1가),128.611646638,35.859728276
서울태한의원,한의원,0,053-754-1075,대구광역시 수성구 달구벌대로 2482 (범어동),128.633944918,35.858390367
누가한의원,한의원,0,053-784-8240,"대구광역시 수성구 용학로 294, 2층 (범물동)",128.640572660,35.821480949
뜨레봄한의원,한의원,0,053-766-8575,대구광역시 수성구 동대구로 126 (황금동),128.624755515,35.841461979
정기신한의원,한의원,0,053-781-1230,대구광역시 수성구 용학로 208 (지산동),128.631046678,35.821428602
경희부부한의원,한의원,0,053-754-1212,대구광역시 수성구 국채보상로 1032 (만촌동),128.643249754,35.866048698
생생한의원,한의원,0,053-625-6893,"대구광역시 수성구 청수로 133, JM타워 3층 302호 (황금동)",128.622917335,35.840371831
인제한의원,한의원,0,053-555-5508,대구광역시 수성구 용학로 148 (지산동),128.625218448,35.823204056
맑은두대현한의원,한의원,0,053-741-7275,"대구광역시 수성구 화랑로 114, 3층 (만촌동)",128.639429201,35.872903355
숨길을열다한의원,한의원,0,053-755-1076,"대구광역시 수성구 동대구로 300, 401동 303호 (범어동, 범어롯데캐슬)",128.626237931,35.856885927
정담한의원,한의원,0,053-759-7337,"대구광역시 수성구 지범로 256-1, 1층 (범물동)",128.644940826,35.816841129
천보당한의원,한의원,0,053-753-6655,"대구광역시 수성구 달구벌대로 2421, 5층 (범어동)",128.627652716,35.859406562
의선한의원,한의원,0,053-781-3370,대구광역시 수성구 용학로46길 9 (지산동),128.634336245,35.820143092
동초랑한의원,한의원,0,053-795-0522,"대구광역시 수성구 달구벌대로 3209 (신매동, (3층))",128.707973672,35.840273449
올마디한의원,한의원,0,053-795-1075,대구광역시 수성구 달구벌대로 3166-1 (노변동),128.702828677,35.840856663
불교한방한의원,한의원,0,053-780-1010,대구광역시 수성구 용학로25길 6 (두산동),128.624200156,35.823965363
김병성한의원,한의원,0,053-753-1577,"대구광역시 수성구 달구벌대로 2510, 2층 (범어동, 대동빌딩)",128.637200847,35.858465680
바른몸한의원,한의원,0,053-742-7013,"대구광역시 수성구 달구벌대로 2466, 2층 (범어동)",128.632315298,35.858357501
한음한방신경정신과한의원,한의원,0,053-746-1075,"대구광역시 수성구 동대구로 300, 401동 307호 (범어동, 롯데캐슬상가)",128.626237931,35.856885927
생기한의원,한의원,0,053-721-6075,"대구광역시 수성구 동대구로 300, 401동 3층 301호 (범어동, 범어 롯데캐슬)",128.626237931,35.856885927
경희참한의원,한의원,0,053-781-1075,"대구광역시 수성구 용학로 212, 3층 (지산동)",128.631381375,35.821249062
제원한의원,한의원,0,053-755-0068,대구광역시 수성구 청호로57길 79 (황금동),128.634642107,35.842854263
마음심한의원,한의원,0,053-754-2275,"대구광역시 수성구 동대구로 311, A-1102호 (범어동)",128.625258090,35.858112954
우송한의원,한의원,0,053-795-3382,"대구광역시 수성구 신매로19길 46, 6층 604호 (신매동)",128.707223346,35.839493369
수성척척한의원,한의원,0,053-313-1275,대구광역시 수성구 들안로 274 (수성동3가),128.617542420,35.854467883
청학한의원,한의원,0,053-766-1075,대구광역시 수성구 청수로 6 (중동),128.608669999,35.840823990
동성한의원,한의원,0,053-755-3553,"대구광역시 수성구 달구벌대로 2276, 4층 (수성동1가)",128.611260879,35.859786647
우리들한의원,한의원,0,053-791-0124,"대구광역시 수성구 달구벌대로 3309, 2층 (사월동)",128.717814959,35.836804501
해창한의원,한의원,0,053-784-7691,"대구광역시 수성구 용학로 316, 201호 (범물동, 범물영남보성아파트115동상가)",128.641513642,35.822347411
녹두한의원,한의원,0,053-254-9262,대구광역시 수성구 수성로 24 (상동),128.610617229,35.827554495
칭한의원,한의원,0,053-759-3030,"대구광역시 수성구 달구벌대로 2509, 2층 (범어동)",128.637271211,35.859280370
수성미소담한의원,한의원,0,053-745-1075,"대구광역시 수성구 명덕로 377, 2층 (수성동1가)",128.611322150,35.854895317
의료법인편강의료재단편강한의원,한의원,0,053-953-7777,"대구광역시 수성구 달구벌대로 2262, 2층 (수성동1가)",128.609966074,35.860416927
태양인 이제마한의원,한의원,0,053-790-7000,대구광역시 수성구 유니버시아드로 304 (욱수동),128.703378933,35.829688770
봄산한의원,한의원,0,053-652-0077,대구광역시 수성구 달구벌대로652길 11-8 (신매동),128.712329844,35.836421830
도옴한의원,한의원,0,053-475-1880,"대구광역시 수성구 명덕로 435, 1층 (수성동3가)",128.617816278,35.854419480
옥토한의원,한의원,0,053-744-8090,"대구광역시 수성구 지범로 178, 4층 (지산동)",128.638576155,35.821324787
김상우한의원,한의원,0,053-781-7119,대구광역시 수성구 용학로 182 (지산동),128.628499883,35.822164742
맑은소리 한의원,한의원,0,053-581-8275,대구광역시 수성구 명덕로 409 (수성동2가),128.614823528,35.854708957
청담미한의원,한의원,0,053-791-1111,"대구광역시 수성구 달구벌대로 2570, 201,202호 (만촌동, 수성 아크로타워)",128.644143725,35.858380680
수성탑 한의원,한의원,0,053-431-0500,"대구광역시 수성구 달구벌대로 2337, 2층 (수성동4가)",128.618279462,35.859889533
송한의원,한의원,0,053-784-1275,"대구광역시 수성구 지범로 180, 2층 (지산동)",128.638941096,35.821291167
범물경희한의원,한의원,0,0507-1418-7510,"대구광역시 수성구 지범로 192, 4층 (범물동)",128.640001533,35.820531552
참다운한의원,한의원,0,053-764-0007,"대구광역시 수성구 화랑로 50, 3층 (만촌동, 자삼빌딩)",128.633499110,35.870319254
자화당한의원,한의원,0,053-751-1688,대구광역시 수성구 화랑로 94 (만촌동),128.637263482,35.872231744
밝은한의원,한의원,0,053-783-3456,"대구광역시 수성구 동대구로 59, D동 3호 (두산동, 대우트럼프월드수성아파트)",128.622483754,35.835856258
더푸른한의원,한의원,0,053-782-7592,대구광역시 수성구 범안로3길 77 (지산동),128.636767136,35.819921762
살림한의원,한의원,0,053-754-8119,"대구광역시 수성구 동대구로 12, B동 3층 (지산동, 한패밀리병원)",128.623977687,35.831301638
비엠한방내과한의원,한의원,0,053-781-7588,"대구광역시 수성구 동대구로 337, 4층 (범어동, 범어화성파크리젠시)",128.626017017,35.860652574
효심한의원,한의원,0,053-818-6759,"대구광역시 수성구 상화로 99, 1층 (두산동)",128.617961813,35.835266842
임귀옥한의원,한의원,0,010-6462-4331,"대구광역시 수성구 파동로 191-1, 1층 (파동)",128.612280031,35.819990499
새몸새기운한미르한의원,한의원,0,053-710-7510,"대구광역시 수성구 달구벌대로 2288, 7층 (수성동1가)",128.612818142,35.859533425
신세계한의원,한의원,0,053-241-1075,"대구광역시 수성구 청수로 180, 3층 (지산동)",128.627753788,35.838765302
수성부부한의원,한의원,0,053-743-1088,대구광역시 수성구 달구벌대로458길 9-1 (수성동1가),128.613018345,35.859428627
척봄한의원,한의원,0,053-746-0122,"대구광역시 수성구 달구벌대로 2513, 1층 (범어동)",128.637640467,35.859257231
튼튼마디한의원,한의원,0,053-759-7775,"대구광역시 수성구 달구벌대로 2501, 2층 (범어동)",128.636342664,35.859165049
더리셋한의원,한의원,0,053-755-1075,"대구광역시 수성구 동대구로 278, 9층 902호 (범어동)",128.625968453,35.855115679
석한의원,한의원,0,053-751-8575,대구광역시 수성구 청솔로 124-15 (범어동),128.621685832,35.857138759
어울림한의원,한의원,0,053-793-1075,"대구광역시 수성구 알파시티2로 29, 범영빌딩 3층 (시지동)",128.692293096,35.840115890
더나은365한의원,한의원,0,053-716-1075,"대구광역시 수성구 달구벌대로 3205, 2층 (신매동)",128.707452091,35.840459767
누리한의원,한의원,0,053-775-7705,"대구광역시 수성구 시지로 24, 골드빌딩 4층 303호 (시지동)",128.692329559,35.840463420
수성편한한의원,한의원,0,053-710-4275,"대구광역시 수성구 명덕로 382, 2층 (수성동1가)",128.611955932,35.854359584
보경한의원,한의원,0,053-247-0671,"대구광역시 수성구 신매로 104, 2층 (신매동)",128.709361122,35.838632191
유원한의원,한의원,0,053-744-1775,"대구광역시 수성구 달구벌대로 2508, 1층 (범어동)",128.636993635,35.858509689
대동한의원,한의원,0,053-217-1075,"대구광역시 수성구 지범로 205, 2층 (범물동)",128.641483572,35.820327083
청춘연합한의원,한의원,0,053-744-1075,"대구광역시 수성구 달구벌대로 2470, 동신건설사옥 5층 (범어동)",128.632757339,35.858303795
설명한의원,한의원,10,053-719-4956,"대구광역시 수성구 달구벌대로 2381, 2층 (범어동)",128.623062609,35.859658445
수호한의원,한의원,0,053-721-7244,"대구광역시 수성구 달구벌대로 2382-1, 짐매니아 3층 (범어동)",128.623449259,35.858848852
청아인 한의원,한의원,0,053-719-3399,대구광역시 수성구 희망로 97-1 (중동),128.609408729,35.847350462
청아람한의원,한의원,9,053-654-1000,"대구광역시 수성구 알파시티2로 95, 정원파킹스퀘어 202호 (노변동)",128.697093214,35.835770348
믿음한의원,한의원,0,053-753-3396,"대구광역시 수성구 수성로69길 65, 6동 1층 102호 (수성동1가, 수성 롯데캐슬 THE FIRST)",128.609517791,35.856045677
아마존한의원,한의원,0,053-212-9922,"대구광역시 수성구 상록로 15, 2층 219호 (범어동, 범어센트럴푸르지오)",128.623555862,35.861120134
리샘한의원 대구점,한의원,0,053-756-8950,"대구광역시 수성구 달구벌대로 2401, 1층 (범어동)",128.625285469,35.859746164
범어봄한의원,한의원,0,053-754-8887,"대구광역시 수성구 달구벌대로496길 35, 2층 (범어동)",128.634227718,35.855340884
곰한의원,한의원,0,053-755-9975,"대구광역시 수성구 달구벌대로 2327, 2층 (수성동4가)",128.617083485,35.860008857
범어에스(s)한의원,한의원,10,053-957-9500,"대구광역시 수성구 달구벌대로 2420, 4층 (범어동)",128.627200252,35.858442618
녹원한의원,한의원,0,053-767-1780,"대구광역시 수성구 청솔로14길 15, 상가동 지하1층 B101호 (범어동, 범어에일린의뜰)",128.621221746,35.852199327
정덕한의원,한의원,0,053-791-1075,"대구광역시 수성구 알파시티2로 33, 2층 (시지동)",128.692978306,35.839715124
리젠365한의원,한의원,0,053-741-8200,"대구광역시 수성구 범어천로 214, 범어 더 리브스퀘어 3층 311~313호 (범어동)",128.618863798,35.864185779
초당한의원,한의원,0,053-793-3681,"대구광역시 수성구 달구벌대로641길 17, 202호 (매호동)",128.708037699,35.841741041
자윤한의원,한의원,0,053-242-5500,"대구광역시 수성구 동대구로 336, 상가동 3층 308호 (범어동, 마크팰리스 범어)",128.627350296,35.860341295
일공공한의원,한의원,0,053-762-1003,"대구광역시 수성구 청수로 200, 4층 (지산동)",128.629826162,35.838799759
노블한의원,한의원,0,053-745-7577,"대구광역시 수성구 상록로2길 13-5, 1층 (범어동)",128.624604010,35.860828645
대구한의대학교부속대구한방병원,한방병원,79,053-763-1121,대구광역시 수성구 신천동로 136 (상동),128.607453998,35.837423319
새로난한방병원,한방병원,99,1670-7512,"대구광역시 수성구 달구벌대로 2492, 1,2,4~9,11층 (범어동)",128.635195294,35.858491241
꽃담한방병원,한방병원,38,053-257-1075,"대구광역시 수성구 동대구로 353, 10~12층 (범어동)",128.626163088,35.862058811
수월한방병원,한방병원,72,053-745-5000,"대구광역시 수성구 동대구로 64, 2~5,13일부층 (지산동)",128.624357097,35.835958980
남치과의원,치과의원,0,053-755-0235,대구광역시 수성구 명덕로 391 (수성동1가),128.612822029,35.854741685
범어연세치과의원,치과의원,0,053-755-6175,"대구광역시 수성구 달구벌대로 2392, 6층 (범어동)",128.624160810,35.858841036
한윤동치과의원,치과의원,0,053-755-6175,대구광역시 수성구 청수로 11 (중동),128.609417023,35.841249991
홍성철치과의원,치과의원,0,053-752-3995,대구광역시 수성구 범어로 93 (범어동),128.635699441,35.857778605
이병훈치과의원,치과의원,0,053-792-1519,"대구광역시 수성구 신매로 91, 112동 202호 (신매동, 시지골든코아)",128.708732195,35.837724653
경림치과의원,치과의원,0,053-754-8758,"대구광역시 수성구 수성로 393, 220호 (수성동4가, 수성하이츠상가)",128.613697201,35.860503537
범물연세치과의원,치과의원,0,053-764-7575,"대구광역시 수성구 용학로 316, 202호 (범물동, 범물보성상가아파트)",128.641513642,35.822347411
사랑니치과의원,치과의원,0,053-793-2888,"대구광역시 수성구 시지로 55, 1동 208호 (시지동, 고산노변타운)",128.696419959,35.839454133
박성배치과의원,치과의원,0,053-753-8875,대구광역시 수성구 달구벌대로 2489 (범어동),128.634938245,35.859157082
신규치과의원,치과의원,0,053-761-2670,대구광역시 수성구 수성로 215 (중동),128.612374092,35.844845820
지산치과의원,치과의원,0,053-784-3042,대구광역시 수성구 용학로 178 (지산동),128.628191242,35.822229523
한민치과의원,치과의원,0,053-791-8735,대구광역시 수성구 달구벌대로 3087 (시지동),128.694730364,35.843203832
지산리더스치과의원,치과의원,0,053-784-1483,"대구광역시 수성구 지범로 163, 3층 (지산동, 글로리아빌딩)",128.637951852,35.822563645
임무영치과의원,치과의원,0,053-767-1821,대구광역시 수성구 동대구로15길 23 (두산동),128.622156095,35.837572007
신정치과의원,치과의원,0,053-754-1737,대구광역시 수성구 동대구로 367-1 (범어동),128.626404048,35.863319825
이영호치과의원,치과의원,0,053-781-7557,"대구광역시 수성구 용학로 303, 2층 1호 (지산동, 지산타운312동상가)",128.640222970,35.822408991
경동치과의원,치과의원,0,053-766-6377,대구광역시 수성구 청수로 198 (지산동),128.629696900,35.838799941
송현호치과의원,치과의원,0,053-761-7256,"대구광역시 수성구 파동로 250, 5층 (파동)",128.610311299,35.824840197
이상원치과의원,치과의원,0,053-763-7528,대구광역시 수성구 명덕로 462 (수성동3가),128.620542303,35.853847226
미광치과의원,치과의원,0,053-941-0341,"대구광역시 수성구 화랑로 158, 201호 (만촌동, 더테라스)",128.643262705,35.875189621
아름다운시간치과의원,치과의원,0,053-742-2879,대구광역시 수성구 국채보상로 1032-1 (만촌동),128.643460302,35.866120894
홍락원치과의원,치과의원,0,053-752-4342,대구광역시 수성구 달구벌대로 2343 (수성동4가),128.618912241,35.859984887
인제치과의원,치과의원,0,053-781-2033,"대구광역시 수성구 범안로 81, 2층 8호 (범물동, 범물용지아파트404동상가)",128.646760346,35.818631917
어진치과의원,치과의원,0,053-761-2804,"대구광역시 수성구 동대구로58길 15, 2층 (범어동)",128.626730180,35.856289875
손성배치과의원,치과의원,0,053-753-4555,대구광역시 수성구 달구벌대로 2557 (만촌동),128.642448581,35.859306629
유진치과의원,치과의원,0,053-764-3830,대구광역시 수성구 명덕로 382 (수성동1가),128.611955932,35.854359584
파동부부치과의원,치과의원,0,053-765-0262,대구광역시 수성구 파동로 102 (파동),128.617113603,35.812880863
상동연합치과의원,치과의원,0,053-768-3906,"대구광역시 수성구 수성로 105, 3층 (상동, 상동빌딩)",128.611422259,35.834881930
미래치과의원,치과의원,0,053-784-7731,대구광역시 수성구 지산로 43 (지산동),128.633133291,35.825230873
신민관치과의원,치과의원,0,053-792-5612,"대구광역시 수성구 고산로 104, 3층 (신매동, 티에이치엘 빌딩)",128.704982891,35.839865431
예원치과의원,치과의원,0,053-784-2828,대구광역시 수성구 지범로 145 (지산동),128.636465333,35.823511990
세경치과의원,치과의원,0,053-752-2875,"대구광역시 수성구 달구벌대로 2570, 207호 (만촌동,수성아트로타워)",128.644143725,35.858380680
동산치과의원,치과의원,0,053-754-1382,"대구광역시 수성구 달구벌대로 2498, 8층 (범어동)",128.635926915,35.858481596
서창우치과의원,치과의원,0,053-792-6306,대구광역시 수성구 고산로 121-17 (매호동),128.703945605,35.841819240
정희붕치과의원,치과의원,0,053-791-2828,대구광역시 수성구 달구벌대로 3163 (매호동),128.703257234,35.841656409
수성치과의원,치과의원,0,053-763-1719,대구광역시 수성구 수성로 261 (수성동1가),128.612790256,35.848853373
김창우치과의원,치과의원,0,053-783-2828,대구광역시 수성구 용학로 298 (범물동),128.640725873,35.821697654
가주치과의원,치과의원,0,053-782-0670,"대구광역시 수성구 지범로 188, 303호 (범물동, 청구리빙월드)",128.639518190,35.820810608
아름다운치과의원,치과의원,0,053-782-2882,대구광역시 수성구 지범로 181 (지산동),128.639326484,35.821617299
